Date,Not indexed,Indexed,Impressions
2025-05-11,,,27
2025-05-12,2545,1028,40
2025-05-13,2369,1051,30
2025-05-14,2369,1051,38
2025-05-15,2369,1051,33
2025-05-16,2369,1051,34
2025-05-17,2358,1047,36
2025-05-18,2358,1047,28
2025-05-19,2358,1047,29
2025-05-20,2368,1042,41
2025-05-21,2368,1042,32
2025-05-22,2368,1042,23
2025-05-23,2368,1042,35
2025-05-24,2390,1027,33
2025-05-25,2390,1027,28
2025-05-26,2390,1027,35
2025-05-27,2579,906,38
2025-05-28,2579,906,25
2025-05-29,2579,906,28
2025-05-30,2579,906,31
2025-05-31,3132,352,36
2025-06-01,3132,352,43
2025-06-02,3132,352,22
2025-06-03,3176,299,20
2025-06-04,3176,299,29
2025-06-05,3176,299,27
2025-06-06,3176,299,31
2025-06-07,3187,284,21
2025-06-08,3187,284,24
2025-06-09,3187,284,19
2025-06-10,3216,249,24
2025-06-11,3216,249,26
2025-06-12,3216,249,25
2025-06-13,3216,249,28
2025-06-14,3221,233,25
2025-06-15,3221,233,30
2025-06-16,3221,233,24
2025-06-17,3220,215,22
2025-06-18,3220,215,29
2025-06-19,3220,215,20
2025-06-20,3220,215,24
2025-06-21,3219,209,26
2025-06-22,3219,209,29
2025-06-23,3219,209,23
2025-06-24,3212,208,20
2025-06-25,3212,208,23
2025-06-26,3212,208,18
2025-06-27,3212,208,23
2025-06-28,3206,207,22
2025-06-29,3206,207,23
2025-06-30,3206,207,28
2025-07-01,3195,207,16
2025-07-02,3195,207,26
2025-07-03,3195,207,29
2025-07-04,3195,207,25
2025-07-05,3178,208,21
2025-07-06,3178,208,26
2025-07-07,3178,208,23
2025-07-08,3171,204,16
2025-07-09,3171,204,14
2025-07-10,3171,204,18
2025-07-11,3171,204,19
2025-07-12,3168,202,13
2025-07-13,3168,202,13
2025-07-14,3168,202,17
2025-07-15,3171,200,13
2025-07-16,3171,200,15
2025-07-17,3171,200,16
2025-07-18,3171,200,22
2025-07-19,3172,198,13
2025-07-20,3172,198,18
2025-07-21,3172,198,17
2025-07-22,3173,196,13
2025-07-23,3173,196,8
2025-07-24,3173,196,7
2025-07-25,3173,196,15
2025-07-26,3170,198,15
2025-07-27,3170,198,11
2025-07-28,3170,198,19
2025-07-29,3129,197,12
2025-07-30,3129,197,10
2025-07-31,3129,197,9
2025-08-01,3129,197,11
2025-08-02,3120,196,18
2025-08-03,3120,196,21
2025-08-04,3120,196,9
2025-08-05,3121,195,13
2025-08-06,3121,195,40
2025-08-07,3121,195,
2025-08-08,3121,195,